;František Beneš;Josef Frk;Milan Smola;Jiří Furbach;Miroslav Jeřábek;Ladislav Kříž;Václav Smíšek;Josef Blahovec;Jan Staněk;Josef Bednařík;Jiří Maroušek;Jana Slepičková;Helena Čumrová;Petra Hošková;Irena Sládková;Karel Dolanský;Marcela Rolníková;Vlastimil Koreš;Jaroslav Mráz 1;Jiří Mráz;Jana Svítivá;Václav Štětina;Vladimír Martínek;Alois Staněk;Oldřich Hamtil;Jana Lukešová;Jiří Maršák;Zdeněk Šleis;Marie Taliánová;Vladimír Zatloukal;Jaroslava Brabcová;Renáta Fürbachová;Hana Hošková;Zdena Houzimová;Marie Jeřábková;Václav Frnoch;Miroslav Kotous;Jarmila Vaňatová;Pavel Frnoch;Josef Narovec;Silvie Přílepková;Silvie Havlátková;Ludmila Maroušková;Jaroslava Holečková;Petra Lusková;Helena Přílepková;Jan Houzim;Petr Jirotka;Jiří Liška;Dana Bednaříková;Jan Franc;Jakub Komrska;Jiří Kovář;Zdeňka Kůsová;Jana Mindlová;Jindřich Hrabák;Jan Lazar;Gabriela Smolová;Jana Dejmková;Hubert Faber;Marie Frnochová;Milada Kochtová;Dana Kolafová;Jaromír Louda;Jiří Pilný;Miloslava Pravdová;Kateřina Čumrová;Jindřich Jindřich;Zdeňka Kotousová;Jana Mottlová;Jaroslav Mráz 2;Yveta Sládková;Jana Smíšková;Marek Švehla;Věra Faberová;Alena Škopková;Gertruda Ungerová;Václav Dejmek;Iveta Frková;Lenka Frnochová;Tomáš Kohlberger;Jaroslav Neužil;Jiří Tadeáš Pelech;Hana Svítivá;Jaroslav Frk;Jiří Krajánek;František Kunc;Petr Lusk;Jan Kolafa;Štěpán Hais;Lenka Mrázová;Martina Šleisová;Oto Švehla;Luboš Šrámek;Petra Mrázová;Pavel Kuhn
František Beneš;0;5.0;5.0;4.0;4.0;4.0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Josef Frk;5.0;0;5.0;4.0;4.0;4.0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Milan Smola;5.0;5.0;0;4.0;4.0;4.0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jiří Furbach;4.0;4.0;4.0;0;4.0;3.0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Miroslav Jeřábek;4.0;4.0;4.0;4.0;0;3.0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ladislav Kříž;4.0;4.0;4.0;3.0;3.0;0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Václav Smíšek;4.0;4.0;4.0;3.0;3.0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Josef Blahovec;0;0;0;0;0;0;0;0;4.0;2.0;3.0;3.0;0;0;0;1.0;1.0;2.0;0;0;0;0;0;0;2.0;2.0;2.0;2.0;2.0;2.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;1.0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jan Staněk;0;0;0;0;0;0;0;4.0;0;2.0;3.0;3.0;0;0;0;0;0;2.0;0;0;0;0;0;0;2.0;2.0;2.0;2.0;2.0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;1.0;1.0;0;1.0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Josef Bednařík;0;0;0;0;0;0;0;2.0;2.0;0;3.0;3.0;0;0;0;0;0;2.0;0;0;0;0;0;0;1.0;0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jiří Maroušek;0;0;0;0;0;0;0;3.0;3.0;3.0;0;3.0;0;0;0;0;0;2.0;0;0;0;0;0;0;1.0;1.0;2.0;1.0;2.0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;0;1.0;1.0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jana Slepičková;0;0;0;0;0;0;0;3.0;3.0;3.0;3.0;0;0;0;0;0;0;3.0;0;0;0;0;0;0;2.0;1.0;1.0;2.0;1.0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Helena Čumrová;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;3.0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;2.0;2.0;2.0;2.0;2.0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Petra Hošková;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;3.0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;2.0;2.0;2.0;2.0;2.0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Irena Sládková;0;0;0;0;0;0;0;0;0;0;0;0;3.0;3.0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;2.0;2.0;2.0;2.0;2.0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Karel Dolanský;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;3.0;0;2.0;0;1.0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;2.0;2.0;2.0;0;0;0;0;0;1.0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0
Marcela Rolníková;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;3.0;0;0;3.0;0;2.0;1.0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;2.0;2.0;2.0;0;0;0;0;0;2.0;1.0;1.0;1.0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;1.0;0
Vlastimil Koreš;0;0;0;0;0;0;0;2.0;2.0;2.0;2.0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;1.0;0;2.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;1.0;1.0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jaroslav Mráz 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;3.0;0;0;0;2.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;2.0;0;0;0;0;0;2.0;1.0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;1.0;0
Jiří Mráz;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;3.0;2.0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0;0
Jana Svítivá;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;2.0;0;2.0;3.0;0;3.0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0
Václav Štětina;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;1.0;0;1.0;2.0;3.0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;0
Vladimír Martínek;2.0;2.0;2.0;2.0;2.0;1.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alois Staněk;2.0;2.0;2.0;2.0;2.0;1.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oldřich Hamtil;0;0;0;0;0;0;0;2.0;2.0;1.0;1.0;2.0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;1.0;0;2.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jana Lukešová;0;0;0;0;0;0;0;2.0;2.0;0;1.0;1.0;0;0;0;0;0;1.0;0;0;0;0;0;0;1.0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;0;1.0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jiří Maršák;0;0;0;0;0;0;0;2.0;2.0;1.0;2.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;1.0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;1.0;1.0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zdeněk Šleis;0;0;0;0;0;0;0;2.0;2.0;1.0;1.0;2.0;0;0;0;0;0;2.0;0;0;0;0;0;0;2.0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Marie Taliánová;0;0;0;0;0;0;0;2.0;2.0;1.0;2.0;1.0;0;0;0;0;0;1.0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vladimír Zatloukal;0;0;0;0;0;0;0;2.0;1.0;1.0;1.0;1.0;0;0;0;1.0;1.0;0;0;1.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;1.0;1.0;0;0;0;0;0;2.0;1.0;1.0;0;0;0;1.0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;1.0;0;0;0;0;0;0;0
Jaroslava Brabcová;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;2.0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;2.0;1.0;1.0;1.0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Renáta Fürbachová;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;2.0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;2.0;0;1.0;1.0;1.0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hana Hošková;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;2.0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;1.0;1.0;0;2.0;2.0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;1.0;0;0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zdena Houzimová;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;2.0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;1.0;1.0;2.0;0;2.0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;1.0;0;0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Marie Jeřábková;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;2.0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;1.0;1.0;2.0;2.0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;1.0;0;0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Václav Frnoch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;2.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0
Miroslav Kotous;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;0;0;0;2.0;2.0;0;2.0;0;1.0;0;0;0;0;0;1.0;0;0;1.0;0;0;0;0;0;2.0;0;2.0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0
Jarmila Vaňatová;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;2.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0
Pavel Frnoch;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;2.0;1.0;1.0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;0;0;2.0;2.0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;1.0;0;0;0;0;0;0;0
Josef Narovec;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;2.0;1.0;1.0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;0;2.0;0;2.0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;1.0;0;0;0;0;0;0;0
Silvie Přílepková;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;2.0;1.0;1.0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;0;2.0;2.0;0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;1.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;1.0;0;0;0;0;0;0;0
Silvie Havlátková;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0
Ludmila Maroušková;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0
